timestamp,bus,can_id,payload
1780061502.546048,vcan0,607,01000000
1780061502.594032,vcan0,600,FF000000
1780061502.594055,vcan0,601,00000000
1780061502.594070,vcan0,602,7F000000
1780061502.706119,vcan0,600,FF000000
1780061502.706152,vcan0,601,00000000
1780061502.706168,vcan0,602,7F000000
1780061502.754000,vcan0,603,00
1780061502.754025,vcan0,604,00
1780061502.754040,vcan0,606,00
1780061502.754054,vcan0,607,01000000
1780061502.817995,vcan0,600,FF000000
1780061502.818018,vcan0,601,00000000
1780061502.818033,vcan0,602,8C000000
1780061502.931005,vcan0,600,FF000000
1780061502.931033,vcan0,601,00000000
1780061502.931048,vcan0,602,8C000000
1780061502.963025,vcan0,603,00
1780061502.963056,vcan0,604,00
1780061502.963073,vcan0,607,01000000
1780061503.043006,vcan0,600,FF000000
1780061503.043031,vcan0,601,00000000
1780061503.043047,vcan0,602,99000000
1780061503.154036,vcan0,600,FF000000
1780061503.154068,vcan0,601,00000000
1780061503.154085,vcan0,602,99000000
1780061503.170007,vcan0,603,00
1780061503.170033,vcan0,604,00
1780061503.170050,vcan0,607,01000000
1780061503.266015,vcan0,600,FF000000
1780061503.266044,vcan0,601,00000000
1780061503.266060,vcan0,602,A5000000
1780061503.266076,vcan0,606,00
1780061503.378023,vcan0,600,FF000000
1780061503.378055,vcan0,601,00000000
1780061503.378071,vcan0,602,B2000000
1780061503.378087,vcan0,603,00
1780061503.378100,vcan0,604,00
1780061503.378114,vcan0,607,01000000
1780061503.490003,vcan0,600,FF000000
1780061503.490032,vcan0,601,00000000
1780061503.490047,vcan0,602,B2000000
1780061503.585997,vcan0,603,00
1780061503.586026,vcan0,604,00
1780061503.586044,vcan0,607,01000000
1780061503.601998,vcan0,600,FF000000
1780061503.602021,vcan0,601,00000000
1780061503.602037,vcan0,602,7F000000
1780061503.714006,vcan0,600,00000000
1780061503.714035,vcan0,601,00000000
1780061503.714051,vcan0,602,7F000000
1780061503.778024,vcan0,606,00
1780061503.794062,vcan0,603,00
1780061503.794091,vcan0,604,00
1780061503.794109,vcan0,607,01000000
1780061503.826023,vcan0,600,00000000
1780061503.826049,vcan0,601,00000000
1780061503.826068,vcan0,602,7F000000
1780061503.939066,vcan0,600,00000000
1780061503.939103,vcan0,601,00000000
1780061503.939124,vcan0,602,8C000000
1780061504.003020,vcan0,603,00
1780061504.003051,vcan0,604,00
1780061504.003069,vcan0,607,01000000
1780061504.050991,vcan0,600,00000000
1780061504.051019,vcan0,601,00000000
1780061504.051035,vcan0,602,99000000
1780061504.161986,vcan0,600,00000000
1780061504.162014,vcan0,601,00000000
1780061504.162030,vcan0,602,99000000
1780061504.210032,vcan0,603,00
1780061504.210068,vcan0,604,00
1780061504.210087,vcan0,607,01000000
1780061504.274008,vcan0,600,00000000
1780061504.274035,vcan0,601,00000000
1780061504.274051,vcan0,602,A5000000
1780061504.289995,vcan0,606,00
1780061504.386003,vcan0,600,00000000
1780061504.386035,vcan0,601,00000000
1780061504.386054,vcan0,602,A5000000
1780061504.418000,vcan0,603,00
1780061504.418027,vcan0,604,00
1780061504.418045,vcan0,607,01000000
1780061504.498039,vcan0,600,00000000
1780061504.498068,vcan0,601,00000000
1780061504.498084,vcan0,602,B2000000
1780061504.610000,vcan0,600,00000000
1780061504.610030,vcan0,601,00000000
1780061504.610047,vcan0,602,B2000000
1780061504.625974,vcan0,603,00
1780061504.625996,vcan0,604,00
1780061504.626011,vcan0,607,01000000
1780061504.721984,vcan0,600,00000000
1780061504.722012,vcan0,601,00000000
1780061504.722029,vcan0,602,7F000000
1780061504.801998,vcan0,606,00
1780061504.833985,vcan0,600,99000000
1780061504.834010,vcan0,601,00000000
1780061504.834026,vcan0,602,7F000000
1780061504.834040,vcan0,603,00
1780061504.834054,vcan0,604,00
1780061504.834067,vcan0,607,01000000
1780061504.946987,vcan0,600,FF000000
1780061504.947015,vcan0,601,00000000
1780061504.947031,vcan0,602,7F000000
1780061505.042997,vcan0,603,00
1780061505.043027,vcan0,604,00
1780061505.043045,vcan0,607,01000000
1780061505.058025,vcan0,600,FF000000
1780061505.058052,vcan0,601,00000000
1780061505.058068,vcan0,602,7F000000
1780061505.169998,vcan0,600,FF000000
1780061505.170030,vcan0,601,00000000
1780061505.170047,vcan0,602,7F000000
1780061505.250026,vcan0,603,00
1780061505.250058,vcan0,604,00
1780061505.250076,vcan0,607,01000000
1780061505.282035,vcan0,600,FF000000
1780061505.282066,vcan0,601,00000000
1780061505.282083,vcan0,602,7F000000
1780061505.313987,vcan0,606,00
1780061505.394060,vcan0,600,FF000000
1780061505.394095,vcan0,601,00000000
1780061505.394113,vcan0,602,7F000000
1780061505.458015,vcan0,603,00
1780061505.458043,vcan0,604,00
1780061505.458061,vcan0,607,01000000
1780061505.505986,vcan0,600,00000000
1780061505.506014,vcan0,601,00000000
1780061505.506030,vcan0,602,7F000000
1780061505.617983,vcan0,600,00000000
1780061505.618012,vcan0,601,00000000
1780061505.618030,vcan0,602,8C000000
1780061505.665990,vcan0,603,00
1780061505.666018,vcan0,604,00
1780061505.666034,vcan0,607,01000000
1780061505.729965,vcan0,600,00000000
1780061505.729990,vcan0,601,00000000
1780061505.730006,vcan0,602,8C000000
1780061505.826055,vcan0,606,00
1780061505.841970,vcan0,600,00000000
1780061505.841993,vcan0,601,00000000
1780061505.842009,vcan0,602,7F000000
1780061505.874966,vcan0,603,00
1780061505.874991,vcan0,604,00
1780061505.875007,vcan0,607,01000000
1780061505.954965,vcan0,600,00000000
1780061505.954995,vcan0,601,00000000
1780061505.955012,vcan0,602,7F000000
1780061506.065976,vcan0,600,00000000
1780061506.066006,vcan0,601,00000000
1780061506.066023,vcan0,602,7F000000
1780061506.081960,vcan0,603,00
1780061506.081984,vcan0,604,00
1780061506.082000,vcan0,607,01000000
1780061506.177970,vcan0,600,00000000
1780061506.177999,vcan0,601,00000000
1780061506.178016,vcan0,602,7F000000
1780061506.289969,vcan0,600,00000000
1780061506.289998,vcan0,601,00000000
1780061506.290016,vcan0,602,7F000000
1780061506.290031,vcan0,603,00
1780061506.290045,vcan0,604,00
1780061506.290060,vcan0,607,01000000
1780061506.337981,vcan0,606,00
1780061506.401993,vcan0,600,00000000
1780061506.402024,vcan0,601,00000000
1780061506.402040,vcan0,602,8C000000
1780061506.497959,vcan0,603,00
1780061506.497984,vcan0,604,00
1780061506.498001,vcan0,607,01000000
1780061506.513951,vcan0,600,00000000
1780061506.513974,vcan0,601,00000000
1780061506.513988,vcan0,602,7F000000
1780061506.625991,vcan0,600,00000000
1780061506.626020,vcan0,601,00000000
1780061506.626037,vcan0,602,7F000000
1780061506.705960,vcan0,603,00
1780061506.705989,vcan0,604,00
1780061506.706006,vcan0,607,01000000
1780061506.737997,vcan0,600,00000000
1780061506.738025,vcan0,601,00000000
1780061506.738042,vcan0,602,7F000000
1780061506.849995,vcan0,600,19000000
1780061506.850025,vcan0,601,00000000
1780061506.850040,vcan0,602,7F000000
1780061506.850056,vcan0,606,00
1780061506.914975,vcan0,603,00
1780061506.915004,vcan0,604,00
1780061506.915020,vcan0,607,01000000
1780061506.962976,vcan0,600,CC000000
1780061506.963005,vcan0,601,00000000
1780061506.963022,vcan0,602,7F000000
1780061507.073958,vcan0,600,FF000000
1780061507.073988,vcan0,601,00000000
1780061507.074005,vcan0,602,7F000000
1780061507.121969,vcan0,603,00
1780061507.121997,vcan0,604,00
1780061507.122014,vcan0,607,01000000
1780061507.185974,vcan0,600,FF000000
