timestamp,bus,can_id,payload
1776477700.896009,vcan0,604,00
1776477701.007784,vcan0,600,FF000000
1776477701.008036,vcan0,601,00000000
1776477701.008169,vcan0,602,7F000000
1776477701.103673,vcan0,603,01
1776477701.103803,vcan0,604,00
1776477701.103895,vcan0,606,01
1776477701.119731,vcan0,600,FF000000
1776477701.119927,vcan0,601,00000000
1776477701.120061,vcan0,602,7F000000
1776477701.231709,vcan0,600,FF000000
1776477701.231861,vcan0,601,00000000
1776477701.231943,vcan0,602,7F000000
1776477701.311851,vcan0,603,01
1776477701.312007,vcan0,604,00
1776477701.343621,vcan0,600,FF000000
1776477701.343720,vcan0,601,00000000
1776477701.343789,vcan0,602,7F000000
1776477701.456747,vcan0,600,00000000
1776477701.456912,vcan0,601,00000000
1776477701.457015,vcan0,602,7F000000
1776477701.519741,vcan0,603,01
1776477701.519895,vcan0,604,00
1776477701.567838,vcan0,600,00000000
1776477701.567991,vcan0,601,00000000
1776477701.568083,vcan0,602,7F000000
1776477701.615745,vcan0,606,01
1776477701.679650,vcan0,600,00000000
1776477701.679758,vcan0,601,00000000
1776477701.679832,vcan0,602,8C000000
1776477701.727634,vcan0,603,01
1776477701.727735,vcan0,604,00
1776477701.791666,vcan0,600,00000000
1776477701.791785,vcan0,601,00000000
1776477701.791866,vcan0,602,8C000000
1776477701.903752,vcan0,600,00000000
1776477701.903862,vcan0,601,00000000
1776477701.903938,vcan0,602,99000000
1776477701.935622,vcan0,603,01
1776477701.935718,vcan0,604,00
1776477702.015615,vcan0,600,00000000
1776477702.015713,vcan0,601,00000000
1776477702.015786,vcan0,602,99000000
1776477702.127782,vcan0,600,00000000
1776477702.128052,vcan0,601,00000000
1776477702.128763,vcan0,602,A5000000
1776477702.128950,vcan0,606,01
1776477702.143729,vcan0,603,01
1776477702.143835,vcan0,604,00
1776477702.239801,vcan0,600,00000000
1776477702.239920,vcan0,601,00000000
1776477702.240001,vcan0,602,7F000000
1776477702.351751,vcan0,600,00000000
1776477702.351881,vcan0,601,00000000
1776477702.351983,vcan0,602,7F000000
